#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 20:13
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P2VSEL01;Všelibice;01.04.2016;31.12.2023;14.950609;50.648954;392

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Srážkomìr;01.04.2016;31.12.2023;1

PRVEK
Denní úhrn srážek [SRA.07:00, mm]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

Pøíznak;Popis
M;Úhrn mimoøádnì z manuálního srážkomìru
T;Nemìøitelné množství

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2016;12;20;0;
2016;12;21;0;
2016;12;22;0;
2016;12;23;0;
2016;12;24;7;
2016;12;25;5.8;
2016;12;26;.4;
2016;12;27;13.3;
2016;12;28;0;
2016;12;29;0;
2016;12;30;0;
2016;12;31;0;
2017;01;1;0;
2017;01;2;4.8;
2017;01;3;17.9;
2017;01;4;7.7;
2017;01;5;.3;
2017;01;6;.3;
2017;01;7;3.9;
2017;01;8;0;
2017;01;9;0;
2017;01;10;0;
2017;01;11;6.7;
2017;01;12;3.5;
2017;01;13;7.3;
2017;01;14;3.8;
2017;01;15;3.1;
2017;01;16;0;
2017;01;17;0;
2017;01;18;0;
2017;01;19;0;
2017;01;20;0;
2017;01;21;0;
2017;01;22;0;
2017;01;23;0;
2017;01;24;0;
2017;01;25;0;
2017;01;26;0;
2017;01;27;0;
2017;01;28;0;
2017;01;29;0;
2017;01;30;4.4;
2017;01;31;4.1;
2017;02;1;0;
2017;02;2;2;
2017;02;3;2.3;
2017;02;4;0;
2017;02;5;0;
2017;02;6;0;
2017;02;7;0;
2017;02;8;0;
2017;02;9;0;
2017;02;10;0;
2017;02;11;0;
2017;02;12;0;
2017;02;13;0;
2017;02;14;0;
2017;02;15;0;
2017;02;16;2.7;
2017;02;17;4.5;
2017;02;18;0;
2017;02;19;0;
2017;02;20;6.4;
2017;02;21;3.4;
2017;02;22;12.6;
2017;02;23;1.5;
2017;02;24;1.5;
2017;02;25;0;
2017;02;26;0;
2017;02;27;0;
2017;02;28;1.6;
2017;03;1;.9;
2017;03;2;.2;
2017;03;3;0;
2017;03;4;0;
2017;03;5;0;
2017;03;6;4.8;
2017;03;7;.1;
2017;03;8;6.7;
2017;03;9;7.5;
2017;03;10;6.8;
2017;03;11;0;
2017;03;12;0;
2017;03;13;0;
2017;03;14;0;
2017;03;15;0;
2017;03;16;0;
2017;03;17;9.5;
2017;03;18;10.5;
2017;03;19;10.6;
2017;03;20;0;
2017;03;21;.9;
2017;03;22;0;
2017;03;23;0;
2017;03;24;0;
2017;03;25;0;
2017;03;26;0;
2017;03;27;0;
2017;03;28;0;
2017;03;29;.1;
2017;03;30;0;
2017;03;31;0;
2017;04;1;1;
2017;04;2;.1;
2017;04;3;15.6;
2017;04;4;13.1;
2017;04;5;0;
2017;04;6;5;
2017;04;7;13.7;
2017;04;8;0;
2017;04;9;0;
2017;04;10;.7;
2017;04;11;1;
2017;04;12;6.7;
2017;04;13;2;
2017;04;14;0;
2017;04;15;1.1;
2017;04;16;2.6;
2017;04;17;2;
2017;04;18;0;
2017;04;19;0;
2017;04;20;0;
2017;04;21;.6;
2017;04;22;0;
2017;04;23;1.7;
2017;04;24;0;
2017;04;25;2;
2017;04;26;1.5;
2017;04;27;.3;
2017;04;28;.5;
2017;04;29;.8;
2017;04;30;0;
2017;05;1;2;
2017;05;2;6.2;
2017;05;3;2.2;
